_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;TOT_FEMALE_TEACHERS;LOCATION_LNG;SS01_BOYS_LATRINE;LOCATION_LAT;TOT_FEMALE_STUDENTS;TYPE_OF_WATER_SOURCE;STATUS;SCHOOL_REF;LOCATION_ALT;SS01_GIRLS_LATRINE;LOCATION_ACC;TOT_MALE_TEACHERS;NO_OF_GIRLS_TOILET_BY_OTHERS;SS03;TOT_MALE_STUDENTS;SS02;SS04;NO_OF_GIRLS_TOILET_BY_BRAC;psu;sl_no;sn;ID;district;upazila;union;name_lnstitute;girlsonly;female/male teacher;female/male students
meherul;05:13,0;0;05:13,0;0;0;1;05:13,0;05:13,0;0;0;C;0;154;D;0;243281;0;A;0;16;2;A;204;B;A;2;43;131;281;243281;Joypurhat;Kalai;Punot;Punut Dhakhil Madrasha;0;0;0,754901961
ramzan;10:49,0;0;10:49,0;0;0;1;10:49,0;10:49,0;3;0;B;0;141;D;0;222350;0;A;0;7;0;A;223;A;A;2;22;64;350;222350;Mymensingh;Bhaluka;Hobirbare;Paragaon Navo Diganta High School;0;0,43;0,632286996
alauddin;42:17,0;0;42:17,0;0;0;1;42:17,0;42:17,0;1;92,1685572;B;24,831315;216;D;0;215154;0;A;2551;7;0;E;104;B;A;2;15;45;154;215154;Sylhet;Beanibazar;Dubag;Soptagram High School;0;0,14;2,076923077
alauddin;42:17,0;0;42:17,0;0;0;1;42:17,0;42:17,0;1;92,1685572;C;24,831315;146;D;0;215156;0;A;2551;10;0;A;243;B;A;2;15;45;156;215156;Sylhet;Beanibazar;Dubag;Kushiara High School;0;0,1;0,600823045
shariful;10:51,0;0;10:51,0;0;0;1;10:51,0;10:51,0;6;0;F;0;495;D;0;212119;0;A;0;7;0;A;0;D;D;2;12;36;119;212119;Comilla;Comilla Sadar;Amratoly;Asia Goni High School;0;0,86;
ramzan;30:42,0;0;30:42,0;0;0;1;30:42,0;30:42,0;2;0;C;0;229;D;0;222349;0;A;0;8;0;A;194;A;A;2;22;64;349;222349;Mymensingh;Bhaluka;Hobirbare;Jal Paza High School;0;0,25;1,180412371
alim;09:11,0;0;09:11,0;0;0;1;09:11,0;09:11,0;1;0;F;0;261;D;0;226252;0;B;0;11;0;A;0;A;A;2;26;74;252;226252;Bogra;Nandigram;Vatgram;Islampur Vuskur girls madrasa;1;0,09;
sanjoy;05:34,0;0;05:34,0;0;0;1;05:34,0;05:34,0;1;89,2127024;C;22,897202;105;A;0;218194;0;B;4977;9;0;A;63;B;B;2;18;53;194;218194;Jessore;Keshabpur;Biddanandokati;Awaulgati Secendary School;0;0,11;1,666666667
shariful;52:12,0;0;52:12,0;0;0;1;52:12,0;52:12,0;3;0;C;0;306;D;0;212123;0;C;0;8;0;C;186;B;C;2;12;36;123;212123;Comilla;Comilla Sadar;Amratoly;Mazigasa High School;0;0,38;1,64516129
amit;08:20,0;0;08:20,0;0;0;1;08:20,0;08:20,0;4;88,9066151;F;25,7779445;360;D;0;232312;0;A;2094;11;2;B;0;B;B;2;32;94;312;232312;Nilphamari;Syedpur;Saidpur Pouroshova;Tulsiram Girls High School;1;0,36;
murad;02:54,0;0;02:54,0;0;0;1;02:54,0;02:54,0;3;92,26000166;B;25,00756179;700;F;0;275387;0;A;25;15;0;A;450;B;B;2;75;2;387;275387;Sylhet;Kanighat;Borocutul;Dorgapur High School;0;0,2;1,555555556
sanjoy;59:24,0;0;59:24,0;0;0;1;59:24,0;59:24,0;3;89,3520032;B;23,1872865;159;D;0;217177;0;A;3095;9;0;C;184;C;B;2;17;51;177;217177;Jessore;Bagharpara;Dohakula;Barampur NBK Secendary School;0;0,33;0,864130435
shariful;05:22,0;0;05:22,0;0;0;1;05:22,0;05:22,0;7;0;F;0;566;D;0;212114;0;A;0;4;0;A;0;B;C;2;12;36;114;212114;Comilla;Comilla Sadar;Kalir Bazar;NIrgis Afzal Girls School;1;1,75;
sanjoy;43:03,0;0;43:03,0;0;0;1;43:03,0;43:03,0;3;89,3748105;C;23,1791594;158;E;0;217180;0;C;3166;7;0;E;389;C;C;2;17;51;180;217180;Jessore;Bagharpara;Naricalbaria;Narikelbaria Secendary  School;0;0,43;0,406169666
shariful;42:50,0;0;42:50,0;0;0;1;42:50,0;42:50,0;2;0;C;0;295;D;0;212117;0;A;0;11;0;A;228;C;C;2;12;36;117;212117;Comilla;Comilla Sadar;Durgapur North;Baradoyl B.A. Moslim High School;0;0,18;1,293859649
enamul;05:46,0;0;05:46,0;0;0;1;05:46,0;05:46,0;5;88,467609;F;25,7944578;464;D;0;228269;0;A;3243;6;2;B;0;B;C;2;28;80;269;228269;Dinajpur;Bochaganj;Pouroshova;Setabgonj Girls Pilot High School;1;0,83;
alauddin;48:48,0;0;48:48,0;0;0;1;48:48,0;48:48,0;9;92,1685572;C;24,8313497;697;D;0;215155;0;C;2486;25;0;A;556;B;B;2;15;45;155;215155;Sylhet;Beanibazar;Dubag;Dobag High School;0;0,36;1,253597122
amit;52:13,0;0;52:13,0;0;0;1;52:13,0;52:13,0;0;0;F;0;73;D;0;231309;0;C;0;7;0;B;0;C;B;2;31;92;309;231309;Nilphamari;Domar;Sonaray;Jamirbari Girls School;1;0;
habibur;43:36,0;0;43:36,0;0;0;1;43:36,0;43:36,0;1;89,3630668;C;25,9166366;67;D;0;210315;0;C;3014;7;0;C;69;C;C;2;10;29;315;210315;Lalmonirhat;Aditmari;Saptibari;Shaty Bary Junior school;0;0,14;0,971014493
habibur;51:02,0;0;51:02,0;0;0;1;51:02,0;51:02,0;4;89,3630668;C;25,9166366;281;D;0;210314;0;C;3014;15;0;C;266;C;C;2;10;29;314;210314;Lalmonirhat;Aditmari;Saptibari;Gandomoria High school;0;0,27;1,056390977
