_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;LOCATION_LNG;LOCATION_LAT;STATUS;LOCATION_ALT;VWC_REF;VWC_ESTABLISHED_YEAR;YEAR_OF_SOCIAL_MAP_MADE;HH_CENSUS_UP;HH_INEND12_UP;HH_CENSUS_PP;HH_INEND12_PP;TOT_NO_OF_HH_CENSUS2008OR12_NP;TOT_NO_OF_HH_INEND12_NP;Ratio NP / UP+P;TOTAL_NO_OF_FEMALE_MEMBER_START;TOTAL_NO_OF_FEMALE_MEMBER_NOW;TOTAL_NO_OF_MALE_MEMBER_START;TOTAL_NO_OF_MALE_MEMBER_NOW;IS_ARSENIC_PRONE_AREA;WATER_SUPPORT_VWC_TUBEWELL_BRAC;WATER_SUPPORT_VWC_TUBEWELL_OTHER;WATER_SUPPORT_VWC_DEEPTUBEWELL_BRAC;WATER_SUPPORT_VWC_DEEPTUBEWELL_OTHER;WATER_SUPPORT_VWC_SANDPONDFILTER_BRAC;WATER_SUPPORT_VWC_SANDPONDFILTER_OTHER;WATER_SUPPORT_VWC_NOTAPPLICABLE_BRAC;WATER_SUPPORT_VWC_NOTAPPLICABLE_OTHER;VWC01;VWC02;VWC03_SCORE_AGREED;VWC03_SCORE_MEN;VWC03_SCORE_WOMEN;LOCATION_ACC;NAME_INVIEWER1;NAME_INVIEWER2;SEX_INTERVIEWER2;SEX_INTERVIEWER1;hh0;hh;wealth;select0;select;psu;psu0;psu1;PSU2;id;district;upazila;union;vwc;ultrapoor;poor;nonpoor;totalHH;%up;%p;%np;weight_up;Weight_p;weight_np
motilal;14:57,0;0;14:57,0;0;0;1;14:57,0;14:57,0;90,5949392;23,3908088;0;0;5460200;2007;2007;152;0;10;0;72;0;PP&UP;6;6;5;5;No;0;0;0;0;0;0;0;0;D;C;C;C;C;2825;Motilal;Taslima;F;M;0;0;up;0;2;46;5;46;1;5460200;Chandpur;Matlab North;Ekhlaspur;Patna Kandi;152;16;66;234;65%;7%;28%;;;
murad;24:52,0;0;24:52,0;0;0;1;24:52,0;24:52,0;91,99908671;25,141592;0;-39;5790100;2012;2012;55;0;77;0;63;0;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;C;C;15;Md Murad Hossain;Champa Rani Das;F;M;0;0;up;0;1;79;5;79;2;5790100;Sylhet;Gowainghat;Doubari;Nagardengri;55;43;97;195;28%;22%;50%;;;
harun;43:29,0;0;43:29,0;0;0;1;43:29,0;43:29,0;90,7966972;24,2561276;0;0;5610100;2012;2012;51;0;23;0;131;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;E;E;E;E;2831;Harun.ar.rashid;Shermin.akther;F;M;0;0;up;0;1;61;5;61;2;5610100;Kishoregonj;Katiadi;Mumurdia;Boratia-1;51;23;131;205;25%;11%;64%;;;
hafizur;01:19,0;0;01:19,0;0;0;1;01:19,0;01:19,0;89,9840767;23,3915607;0;0;5420100;2007;2007;49;0;45;0;63;0;PP&UP;5;5;6;6;Yes;No;No;No;Yes;No;No;0;Yes;D;A;A;A;A;3094;Hafizur rahaman;Shikha kirtuniya;F;M;0;0;up;0;1;42;5;42;1;5420100;Faridpur;Bhanga;Azimnagor;Kornekhanda;23;101;33;157;15%;64%;21%;;;
swapon;55:01,0;0;55:01,0;0;0;1;55:01,0;55:01,0;89,773337;23,2671071;0;0;5400300;2007;2007;24;0;14;0;50;0;NP;6;6;5;5;Yes;No;0;No;0;No;0;0;0;D;B;A;B;B;3683;swapon.ray;subarna;F;M;0;0;up;0;3;40;5;40;1;5400300;Gopalgonj;Kashiani;Mohes Pur;Gosh kandi-2;24;14;50;88;27%;16%;57%;;;
quddus;51:17,0;0;51:17,0;0;0;1;51:17,0;51:17,0;88,9392855;23,4722106;0;0;5010100;2008;2008;27;0;67;0;40;0;PP&UP;6;6;5;5;No;Yes;0;No;0;No;0;0;0;B;B;A;A;A;3287;Abdul.quddus.;Sumitra kormoker;F;M;0;0;up;0;1;1;50;1;1;5010100;Jhenidah;Kotchandpur;Dora;Chuadanga;29;43;62;134;22%;32%;46%;;;
milon;18:29,0;0;18:29,0;0;0;1;18:29,0;18:29,0;0;0;0;0;5080100;2008;2008;22;0;47;0;20;0;PP&UP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;B;C;C;C;0;Milon;Tuli;F;M;0;0;up;0;1;8;50;8;1;5080100;Rajbari;Rajbari sadar;Pachuria;maitekora;9;60;20;89;10%;67%;22%;;;
alim;34:08,0;0;34:08,0;0;0;1;34:08,0;34:08,0;0;0;0;0;5260100;2007;2007;25;20;15;25;82;87;NP;6;6;5;5;No;Yes;0;No;0;No;0;0;0;B;A;A;A;A;0;Shabiha;Alimuddin;M;F;0;0;up;0;1;26;5;26;1;5260100;Bogra;Nandigram;VATGARM;luskur;25;15;82;122;20%;12%;67%;;;
habibur;23:15,0;0;23:15,0;0;0;1;23:15,0;23:15,0;89,3620249;25,9143294;0;0;5100100;2008;2008;34;35;39;65;43;20;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;B;C;C;C;C;3401;Habibur rahman;Bithi rani ray;F;M;0;0;up;0;1;10;5;10;1;5100100;Lalmonirhat;Aditmari;Durgapur;Dugnarpar;35;65;26;126;28%;52%;21%;;;
shahjahan;57:40,0;0;57:40,0;0;0;1;57:40,0;57:40,0;0;0;0;0;5040300;2008;2008;9;0;43;0;63;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;C;C;0;Shahajan;Fatema;F;M;0;0;up;0;3;4;50;4;1;5040300;Gazipur;Kapasia;Chandpur;Chamurkhi-17;7;39;69;115;6%;34%;60%;;;
