Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Name of the village,HH00:Interview the HH (presence of HH members) ,HHma:Number of adult male ,HHfa:Number of adult  female ,HHmado:Number of Adloscent male ,HHfado:Number of Adloscent female ,HHmh5:Number of male children(>5yrs),HHfH5:Number of female children (>5yrs),HHml5:Number of male children(<=5yrs),HHfl5:Number of female children(<=5yrs),HHmsp:Number of male member who need assistance to access the latrine or defecate in the open ,HHfsp:Number of female member who need assistance to access the latrine or defecate in the open   ,HHsx:Sex of the interviewee,Economic status during data collection,HH01(old): Safe & Protected Main Drinking Water Source(old),HH01(new): Safe & Protected Main Drinking Water Source(new),HH02old: Drinking Water Management from Source to Cup(old),HH02new: Drinking Water Management from Source to Cup(new),HH03old: Quality of Latrine(old),HH03new: Quality of Latrine(new),HH03A:Shared latrine ,HH03B:Type of latrine ,HH3B:Type of Latrine(pls specify),HH04: Latrine use by whom,HH04A:Latrine use_All members,HH05:Latrine use when ,HH06:Hand washing provisions after defaecation ,HH07(dne):Sludge management(done),HH07(ftr):Sludge management(future),Image_water point ,Image (Latrine)
1460878912,24.323046,90.084302,JugirGopa-347,yes ,1,1,1,1,1,0,0,0,0,0,male,PP,B,B,A,A,B,A,A,A,,C,No,B,B,F,C,1411414377844.jpg,1411414562383.jpg
1460878933,24.323046,90.084302,jugirgopa-347,yes ,2,1,0,0,0,0,0,0,1,0,female,NP,B,B,D,C,B,A,B,A,,A,yes,B,D,F,C,1411454352091.jpg,1411454368954.jpg
1460878925,24.329806,90.06814,jugirgopa-347,yes ,2,2,0,1,0,0,0,0,0,0,female,PP,D,D,D,D,B,A,A,A,,B,yes,B,D,F,C,1411457944392.jpg,1411457958023.jpg
1457848616,23.433262,89.760657,Modandia,yes ,1,1,1,0,0,1,0,0,0,0,female,UP,D,D,D,D,C,C,C,B,,B,yes,B,D,C,,1411444115753.jpg,1411444140475.jpg
2524170621,24.599427,90.898995,Bairkona,yes ,1,1,1,0,0,0,2,0,0,0,female,PP,D,D,D,D,D,E,A,A,,B,No,B,D,D,,1411450143638.jpg,1411450161718.jpg
2509561933,23.139689,90.788104,Daysara,yes ,3,1,0,0,0,0,0,0,0,0,male,NP,A,A,A,A,B,A,A,C,,B,yes,A,A,F,C,1411450338934.jpg,1411450381185.jpg
2524170622,24.575965,90.962672,Bairkona,yes ,3,1,2,1,0,1,0,0,0,0,male,PP,D,D,C,D,D,D,A,A,,B,yes,B,D,F,D,1411451514643.jpg,1411451399548.jpg
2524170631,24.599427,90.898995,Bairkona,yes ,3,2,0,0,0,0,1,1,0,0,female,NP,B,B,D,D,D,D,A,A,,B,No,A,D,F,D,1411453688930.jpg,1411453736522.jpg
2524170632,24.599427,90.898995,Bairkona,yes ,2,1,1,0,1,0,0,0,0,0,male,NP,C,D,C,D,B,A,A,A,,B,yes,A,D,F,C,1411454607942.jpg,1411454581225.jpg
1457848614,23.433262,89.760657,Modandia,yes ,0,1,0,0,1,0,0,1,0,0,female,UP,D,D,C,D,D,D,A,B,,A,yes,B,E,F,C,1411365603286.jpg,1411365635825.jpg
2524648522,24.556071,90.862763,Shimulati,yes ,4,4,0,1,0,0,0,0,0,0,male,PP,C,D,C,D,D,D,A,A,,B,yes,A,D,C,,1411450836534.jpg,1411450864345.jpg
2509561926,23.139689,90.788104,Daysara,yes ,0,2,1,0,0,1,1,0,0,0,female,UP,A,A,B,B,D,D,A,A,,A,No,B,D,F,C,1411452086813.jpg,1411452128155.jpg
1457848625,23.433262,89.760657,Modandia,yes ,1,2,2,0,0,0,0,0,0,0,female,PP,A,A,A,A,C,C,A,A,,B,yes,B,D,C,,1411445795755.jpg,1411445833917.jpg
2509559433,23.170642,90.7469,Upadik,yes ,1,1,0,0,0,0,0,0,0,0,male,NP,A,A,A,A,D,D,A,A,,B,yes,A,E,C,,1411446335099.jpg,1411445510413.jpg
2509561931,23.140716,90.787565,Daysara,yes ,2,2,0,0,2,0,0,0,0,0,male,NP,D,D,D,D,B,A,A,C,,B,yes,A,A,F,C,1411453502028.jpg,1411453639621.jpg
2509559435,23.181146,90.743936,Upadik,yes ,2,1,1,0,0,1,0,0,0,0,female,NP,A,A,D,C,B,A,A,A,,B,yes,A,D,F,C,1411446355910.jpg,1411446026443.jpg
2509559432,23.182505,90.760258,Upadik,yes ,1,2,1,0,0,1,0,0,0,0,female,NP,C,D,C,D,B,A,A,A,,B,yes,A,D,F,C,1411447292408.jpg,1411447062862.jpg
2524648512,24.54696,90.86596,Shimulati,yes ,1,2,1,0,1,0,0,0,0,0,female,UP,C,D,C,D,D,D,A,A,,B,yes,A,B,C,,1411451489831.jpg,1411451560437.jpg
2509559436,23.184998,90.761187,Upadik,yes ,1,1,0,0,0,2,1,1,0,0,female,NP,D,C,D,C,B,B,B,A,,A,yes,A,E,C,,1411448700404.jpg,1411448685633.jpg
2509559416,23.184566,90.761557,Upadik,yes ,1,1,0,0,1,0,1,1,0,0,female,UP,E,E,E,E,E,F,,,,,,,,,,,
2509559422,23.184998,90.761187,Upadik,yes ,1,2,0,0,1,0,0,0,0,0,female,PP,E,E,E,E,C,C,A,A,,B,yes,A,D,C,,1411452490689.jpg,1411452509880.jpg
1426363821,25.131886,90.367147,akonpara-2,yes ,1,1,0,0,1,0,0,1,0,0,female,PP,A,A,C,B,C,C,A,A,,B,No,B,D,C,,1411447698126.jpg,1411448683808.jpg
2509559412,23.184268,90.742425,Upadik,yes ,4,3,1,0,1,0,0,0,0,0,female,NP,E,E,E,E,D,D,A,A,,B,yes,A,E,F,C,1411453506500.jpg,1411453478705.jpg
2509559426,23.184268,90.742425,Upadik,yes ,2,2,0,1,0,0,0,1,0,0,female,PP,A,A,A,A,B,E,A,A,,A,yes,A,D,D,,1411455706249.jpg,1411454834635.jpg
1457848633,23.433262,89.760657,Modandia,yes ,1,2,2,1,0,0,0,0,0,0,female,NP,D,D,D,D,D,D,A,A,,B,yes,B,E,C,,1411447506407.jpg,1411447542344.jpg
1426363823,25.131886,90.367147,akonpara-2,yes ,2,2,0,1,0,1,0,1,0,0,female,PP,C,D,D,D,C,C,A,A,,D,No,B,D,C,,1411455717652.jpg,1411455727689.jpg
1426363824,25.131886,90.367147,akonpara-2,yes ,1,1,0,0,1,0,0,1,0,0,female,PP,D,D,D,D,C,C,B,A,,B,No,B,C,C,,1411452378946.jpg,1411452410238.jpg
1426363825,25.131886,90.367147,akonpara-2,yes ,2,4,0,1,0,0,0,1,0,0,female,PP,B,B,D,C,C,E,A,A,,B,No,B,D,D,,1411450829905.jpg,1411450816585.jpg
1426363826,25.131886,90.367147,akonpara-2,yes ,2,2,1,0,0,0,0,0,0,0,female,NP,B,B,D,C,B,A,A,A,,A,yes,B,C,C,,1411454329031.jpg,1411454343087.jpg
1435505226,23.302701,89.133518,Sadikpur,yes ,1,1,1,0,0,1,0,0,0,0,male,PP,B,B,A,A,E,E,A,D,pit latrine,B,yes,B,C,F,C,1411458205883.jpg,1411458255814.jpg
1435505213,23.310548,89.125217,Sadikpur,yes ,0,1,0,0,0,0,0,0,1,0,female,PP,A,A,B,B,C,C,A,A,,B,yes,B,B,F,C,1411456011707.jpg,1411456051477.jpg
1435505212,23.310548,89.125217,Sadikpur,yes ,1,1,1,1,0,0,0,0,0,0,female,UP,D,D,C,D,D,D,A,A,,B,yes,B,C,C,,1411449174209.jpg,1411449211434.jpg
1435505221,23.313013,89.122676,Sadikpur,yes ,1,1,2,0,0,0,0,0,0,0,female,NP,D,C,B,B,C,E,C,D,Out lat is open,B,yes,A,D,D,,1411445331861.jpg,1411445419606.jpg
1435505224,23.310548,89.125217,Sadikpur,yes ,2,1,0,0,0,0,0,0,0,0,female,NP,D,C,B,B,C,E,C,D,Out lat is open,B,yes,A,D,D,,1411446738390.jpg,1411446765687.jpg
1437525422,24.651766,90.745553,Hararkandi,yes ,1,1,0,1,1,1,0,0,0,0,female,PP,D,D,D,D,B,A,A,A,,B,yes,B,D,D,,1411453518677.jpg,1411453561732.jpg
2519514611,23.387117,90.803723,Kalikapur-1,yes ,1,2,0,0,1,0,0,0,0,0,female,UP,C,B,C,B,E,F,,,,,,,,,,,
2519514612,23.387117,90.803723,Kalikapur-1,yes ,1,1,0,1,1,0,0,0,0,0,male,UP,C,B,C,B,D,E,B,D,o,A,yes,A,D,F,D,1411364698103.jpg,1411364720543.jpg
2513653116,24.902428,92.113154,Faljur,yes ,5,2,2,1,1,1,0,0,0,0,male,UP,E,E,E,E,D,E,A,A,,B,yes,A,D,D,,1411466508621.jpg,1411466432008.jpg
2513653111,24.905739,92.114729,Faljur,yes ,1,1,1,0,0,0,0,0,0,0,male,UP,C,D,D,D,C,C,B,A,,B,yes,A,E,F,C,1411467201541.jpg,1411467247198.jpg
2513653112,24.902428,92.113154,Faljur,yes ,1,1,1,2,1,1,0,1,0,0,female,UP,D,D,D,D,D,C,B,C,,B,No,A,E,F,C,1411467924600.jpg,1411467897687.jpg
2519514613,23.387117,90.803723,Kalikapur-1,yes ,1,1,0,2,0,2,0,0,0,0,female,UP,D,C,D,C,C,E,A,B,,A,yes,A,D,F,D,1411365785082.jpg,1411365854427.jpg
2519514631,23.358721,90.800506,Kalikapur-1,yes ,1,1,0,0,0,0,0,0,0,0,female,NP,D,C,D,C,E,F,,,,,,,,,,,
2519514621,23.387117,90.803723,Kalikapur-1,yes ,1,1,0,0,2,0,0,0,0,0,female,PP,C,B,D,C,C,C,A,B,,A,yes,B,D,F,D,1411366720397.jpg,1411366825586.jpg
2519514632,23.36783,90.803165,Kalikapur-1,yes ,1,1,1,1,0,2,0,0,0,0,female,NP,D,D,D,C,C,E,A,A,,B,yes,A,D,D,,1411368128083.jpg,1411368197706.jpg
2519514633,23.35692,90.811405,Kalikapur-1,yes ,1,1,2,0,0,2,0,1,0,0,female,NP,D,D,C,C,D,E,A,B,,B,No,A,D,F,D,1411369141847.jpg,1411369190727.jpg
2519514622,23.373385,90.800308,Kalikapur-1,yes ,1,1,0,1,2,1,1,0,0,0,male,PP,D,D,C,D,D,E,C,D,Open,B,No,A,D,F,D,1411370524245.jpg,1411370557710.jpg
2519514623,23.368112,90.772434,Kalikapur-1,yes ,1,1,0,1,2,0,0,0,0,0,female,PP,D,D,C,C,E,F,,,,,,,,,,,
2519514624,23.35692,90.811405,Kalikapur-1,yes ,1,1,0,1,1,0,0,0,0,0,male,PP,C,C,D,C,C,E,A,A,,B,No,A,D,F,D,1411371637356.jpg,1411371649641.jpg
2519514634,23.387117,90.803723,Kalikapur-1,yes ,1,1,0,0,1,0,0,1,0,0,male,NP,C,B,C,B,D,D,B,A,,A,yes,A,D,D,,1411374134826.jpg,1411374157823.jpg
2519514625,23.387117,90.803723,Kalikapur-1,yes ,1,1,1,0,0,1,1,0,0,0,female,PP,C,B,B,B,C,E,A,C,,A,yes,A,D,D,,1411376004160.jpg,1411376025903.jpg
2519514635,23.35692,90.811405,Kalikapur-1,yes ,1,1,1,1,0,0,0,0,0,0,female,NP,B,B,B,B,D,D,A,A,,B,yes,A,D,D,,1411377138923.jpg,1411377155530.jpg
2519514636,23.387117,90.803723,Kalikapur-1,yes ,0,2,0,1,1,0,0,0,0,0,female,NP,C,C,D,C,B,A,A,C,,A,yes,A,D,D,,1411377773163.jpg,1411377785923.jpg
2519514614,23.387117,90.803723,Kslikspur-1,yes ,1,1,1,2,0,0,0,0,0,0,female,UP,B,B,B,B,C,A,A,B,,B,yes,A,C,F,D,1411378828111.jpg,1411378871125.jpg
2519514615,23.387117,90.803723,Kalikapur-1,yes ,1,2,1,0,0,0,1,0,0,0,female,UP,B,B,C,C,C,C,A,B,,A,yes,A,C,D,,1411379441228.jpg,1411379472432.jpg
2519538212,23.423973,90.787134,shibpur,yes ,1,2,0,0,0,0,1,1,0,0,male,UP,B,B,D,C,B,A,A,A,,A,yes,B,B,F,C,1411365175618.jpg,1411365263387.jpg
2519538232,23.423973,90.787134,shibpur,yes ,2,2,0,0,0,0,0,0,0,0,female,NP,B,B,A,A,D,D,A,A,,B,yes,A,D,F,B,1411366243224.jpg,1411366334408.jpg
2519538213,23.387117,90.803723,shibpur,yes ,1,1,2,0,0,0,0,0,0,0,female,PP,C,D,D,D,D,D,A,A,,B,yes,B,D,F,C,1411369204246.jpg,1411369364825.jpg
2519538233,23.387117,90.803723,shibpur,yes ,1,1,0,1,0,0,0,0,0,0,male,NP,B,B,A,A,B,A,A,A,,B,yes,A,D,F,C,1411370746789.jpg,1411370767755.jpg
2519538222,23.387117,90.803723,shibpur,yes ,1,2,0,0,0,0,1,0,0,0,female,NP,A,A,D,C,D,D,A,A,,B,yes,A,E,F,C,1411373359552.jpg,1411373288043.jpg
2510696715,22.578395,91.846842,Sadak nagar,yes ,2,1,1,0,0,0,0,1,0,0,male,UP,B,B,A,A,B,C,A,B,,B,yes,B,C,F,D,1411454069932.jpg,1411454090236.jpg
2510696735,22.578395,91.846842,Sadek Nagar,yes ,2,1,1,0,0,1,0,0,0,0,female,NP,B,B,A,A,B,E,B,A,,B,No,B,D,F,D,1411455578414.jpg,1411455586858.jpg
2510696736,22.578395,91.846842,Sadek Nagar,yes ,4,4,0,1,0,0,2,0,0,0,male,NP,A,A,B,B,B,E,A,A,,B,No,B,D,F,D,1411459239484.jpg,1411459255027.jpg
2510696734,22.578395,91.846842,Sadek Nagar,yes ,2,2,0,0,0,0,1,2,0,0,female,NP,A,A,B,B,C,E,A,A,,B,No,B,D,F,D,1411460147973.jpg,1411460185602.jpg
2519538231,23.423973,90.787134,shibpur,yes ,2,3,0,0,1,0,0,1,0,0,male,NP,B,B,D,C,B,A,A,A,,B,No,A,B,C,,1411361698301.jpg,1411361749160.jpg
2519538235,23.423973,90.787134,shibpur,yes ,1,1,1,2,0,0,1,0,0,0,female,PP,A,A,D,D,C,C,A,A,,B,yes,B,E,F,C,1411375949443.jpg,1411375778107.jpg
2519538226,23.423973,90.787134,shibpur,yes ,0,1,0,1,0,0,1,0,0,0,female,NP,E,E,E,E,B,A,A,A,,B,yes,A,B,C,,1411451603194.jpg,1411451621551.jpg
2519538234,23.401353,90.793173,shibpur,yes ,1,1,0,0,0,0,1,1,0,0,female,PP,D,D,D,D,D,D,A,A,,B,yes,B,E,C,,1411452764305.jpg,1411452637559.jpg
2519538236,23.398757,90.790882,shibpur,"No,moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508071411,22.581462,89.524624,chunkuri taltola,yes ,1,1,1,0,1,0,0,0,0,0,female,UP,E,E,E,E,A,A,A,B,,B,yes,A,C,F,B,1411454799057.jpg,1411454867260.jpg
2519538214,23.387117,90.803723,shibpur,yes ,1,1,1,1,0,0,1,0,0,0,female,UP,E,E,E,E,D,D,B,A,,B,yes,B,E,F,C,1411458300212.jpg,1411458188688.jpg
1438545631,23.871017,89.336395,Dhokrakol,yes ,2,1,0,1,0,0,0,0,0,0,female,NP,A,A,A,A,B,A,A,A,,B,yes,A,B,F,B,1411445479640.jpg,1411445520659.jpg
2519538215,23.387117,90.803723,shibpur,yes ,2,2,0,0,0,1,0,0,0,0,female,UP,E,E,E,E,D,D,B,A,,B,No,B,E,C,,1411459268811.jpg,1411458999016.jpg
2508071412,22.580369,89.524608,chunkuri taltola,yes ,3,1,0,0,0,0,0,0,0,0,male,UP,D,D,D,D,B,A,A,A,,B,yes,A,C,F,B,1411459994970.jpg,1411460143047.jpg
2519538216,23.387117,90.803723,shibpur,yes ,1,1,0,0,0,0,2,0,0,0,female,UP,E,E,E,E,D,E,B,A,,B,yes,B,E,C,,1411460064145.jpg,1411459962902.jpg
1438545614,23.870467,89.335143,Dhokrakol,yes ,1,1,0,1,1,0,1,0,0,0,female,PP,A,A,A,A,A,A,A,B,,A,yes,A,B,F,B,1411446983321.jpg,1411446911684.jpg
2508071421,22.579806,89.524641,chunkuri taltola,yes ,1,1,1,0,1,0,0,1,0,0,female,PP,D,C,B,B,A,A,C,B,,A,yes,A,C,F,C,1411464212936.jpg,1411464412149.jpg
2508071431,22.580465,89.525118,chunkuri taltola,yes ,2,2,0,0,1,0,1,0,0,0,male,NP,D,D,D,D,B,A,C,C,,A,yes,A,C,F,A,1411456797503.jpg,1411456907060.jpg
1438545616,23.871912,89.334098,Dhokrakol,yes ,1,1,1,0,0,1,0,0,0,0,female,UP,A,A,B,B,A,A,A,B,,B,yes,A,B,F,C,1411448399411.jpg,1411448242061.jpg
2508071432,22.579809,89.52432,chunkuri taltola,yes ,2,3,0,0,0,1,0,1,0,0,female,NP,E,E,E,E,B,A,A,A,,A,yes,A,C,C,,1411461939668.jpg,1411462056522.jpg
2520540422,22.604303,89.31091,Bandikati,yes ,2,2,0,0,0,0,0,0,0,0,female,PP,A,A,A,A,C,C,A,C,,B,yes,A,B,F,D,1411442799206.jpg,1411442691097.jpg
1438545625,23.872877,89.333185,Dhokrakol,yes ,2,1,0,2,0,1,1,1,0,0,female,PP,B,B,D,D,B,A,A,A,,A,yes,A,B,F,C,1411450450785.jpg,1411450510761.jpg
1438545626,23.873473,89.331298,dhokrakol,yes ,2,3,0,0,0,0,0,1,0,0,female,NP,B,B,A,A,B,A,A,A,,A,yes,A,B,C,,1411451524395.jpg,1411451554087.jpg
2520540433,22.603751,89.311387,Bandikati,yes ,2,2,0,0,0,1,0,0,0,0,male,NP,A,A,B,B,B,B,A,A,,B,yes,A,D,C,,1411444669172.jpg,1411444307394.jpg
1438545612,23.873991,89.33184,Dhokrakol,yes ,1,1,0,0,0,0,0,0,0,0,female,UP,B,B,B,B,A,A,B,A,,B,yes,A,B,F,B,1411455916571.jpg,1411455843614.jpg
2520540426,22.603304,89.311538,Bandikati,yes ,1,2,1,1,0,0,0,1,0,0,female,PP,A,A,B,B,B,A,A,C,,A,yes,A,D,C,,1411446564483.jpg,1411445199137.jpg
1438545622,23.871921,89.349198,Dhokrakol,yes ,1,2,3,0,0,0,0,0,0,0,female,PP,A,A,B,B,C,E,A,A,,B,yes,A,B,B,,1411456568084.jpg,1411456628018.jpg
2520540416,22.603354,89.314613,Bandikati,yes ,2,1,0,0,1,1,0,0,1,0,female,UP,A,A,B,B,A,A,B,B,,A,yes,A,C,F,C,1411446484770.jpg,1411446320300.jpg
2520540425,22.600848,89.313584,Bandikati,yes ,2,2,0,0,0,1,1,0,0,0,male,PP,A,A,A,A,B,A,A,C,,B,No,A,C,F,D,1411447903309.jpg,1411447753352.jpg
2520540415,22.605841,89.311643,Bandikati,yes ,1,2,1,1,0,0,0,0,0,0,male,UP,A,A,B,B,D,D,B,A,,B,yes,A,D,F,C,1411449364445.jpg,1411449405890.jpg
2520540414,22.60587,89.311935,Bandikati,yes ,1,1,0,0,0,0,0,0,0,0,male,UP,A,A,A,A,A,A,B,B,,B,yes,A,D,F,C,1411450404188.jpg,1411450444850.jpg
2520540434,22.603381,89.311476,Bandikati,yes ,1,1,0,0,0,1,1,0,0,0,female,NP,A,A,B,B,B,A,A,C,,A,yes,A,A,F,C,1411451751080.jpg,1411451513869.jpg
2520540413,22.603007,89.311493,Bandikati,yes ,1,1,0,0,0,0,0,0,0,0,female,UP,A,A,B,B,C,C,B,A,,B,yes,A,D,C,,1411452458304.jpg,1411452366652.jpg
1429404215,24.711288,91.490649,kamrakhai,yes ,4,2,0,0,0,0,1,1,0,0,female,PP,B,C,A,A,B,A,A,C,,A,yes,B,B,F,C,1411460394902.jpg,1411460324901.jpg
1429404235,24.711288,91.490649,kamrakhai,yes ,1,2,1,0,1,0,0,1,0,0,female,NP,B,B,A,A,B,A,A,C,,A,yes,B,C,C,,1411461765542.jpg,1411461692244.jpg
1429404231,24.669588,91.472995,kamrakhai,yes ,1,4,0,0,0,0,0,0,0,0,male,NP,C,D,C,D,C,C,C,C,,B,yes,B,E,C,,1411463019303.jpg,1411462897019.jpg
1426363835,25.12173,90.352706,Akonpara-2,yes ,1,2,0,1,0,0,0,0,0,0,male,NP,A,A,D,C,C,C,A,A,,B,yes,B,D,C,,1411520175433.jpg,1411520216352.jpg
1426363832,25.131886,90.367147,Akonpara-2,yes ,1,1,1,1,0,0,0,0,0,0,female,NP,B,B,D,C,B,A,A,C,,B,yes,B,B,F,C,1411521511302.jpg,1411521569134.jpg
1426363836,25.100512,90.338162,Akonpara-2,"No,nobody home ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501625535,24.926118,89.085519,Maligram,yes ,4,1,0,0,0,0,0,0,0,0,female,NP,D,C,D,C,C,C,A,C,,B,yes,B,D,F,C,1411530420311.jpg,1411530439375.jpg
2501625526,24.926118,89.085519,Maligram,yes ,2,1,0,0,0,0,0,0,0,0,male,NP,C,D,C,D,C,C,A,A,,B,yes,A,D,C,,1411530296681.jpg,1411530315681.jpg
2501625514,24.926118,89.085519,Maligram,yes ,1,1,0,0,0,0,0,0,0,0,male,UP,C,D,D,D,E,F,,,,,,,,,,,
1454818311,25.617436,88.923692,Dangapara,yes ,3,2,0,1,0,0,0,0,0,0,female,UP,D,D,D,D,C,C,B,A,,B,yes,A,E,C,,1411531784323.jpg,1411531803107.jpg
1454818322,25.615017,88.911141,kalikabari Dangapara,yes ,1,1,0,0,0,0,0,0,0,0,female,PP,E,E,E,E,C,C,A,A,,A,yes,C,C,F,C,1411531980908.jpg,1411532025184.jpg
2501625536,24.926118,89.085519,Maligram,yes ,1,2,0,0,0,1,0,1,0,0,male,NP,C,D,D,D,C,C,A,A,,B,yes,C,E,F,C,1411532925995.jpg,1411532958946.jpg
1454818321,25.615791,88.911402,jakujabari Dabgapara,yes ,1,1,1,0,1,0,0,0,0,0,female,PP,E,E,E,E,C,C,A,A,,A,yes,B,C,C,,1411532625784.jpg,1411532674937.jpg
1454818335,25.617436,88.923692,Dangapara,yes ,2,3,0,0,0,0,0,0,0,0,female,NP,D,D,D,D,C,C,A,C,,B,yes,A,D,C,,1411532949636.jpg,1411532966443.jpg
2501625515,24.926118,89.085519,Maligram,yes ,1,1,0,0,0,0,1,1,0,0,female,UP,D,D,D,D,E,F,,,,,,,,,,,
2501625524,24.926118,89.085519,Maligram,yes ,2,1,0,1,0,0,0,0,0,0,female,PP,D,D,D,D,C,C,A,A,,B,yes,B,E,F,C,1411532134484.jpg,1411532020214.jpg
1454818325,25.612723,88.915007,ukalikabari Dangpar,yes ,1,1,0,0,0,2,0,2,0,0,female,PP,E,E,E,E,,F,,,,,,,,,,,
2519514626,23.335674,90.785834,Kalikapur-1,yes ,2,2,0,0,0,0,0,0,0,0,female,PP,C,C,D,D,D,D,A,A,,B,yes,A,D,D,,1411534618304.jpg,1411534628433.jpg
2519512711,23.358816,90.800623,Dulotpur-2,yes ,1,1,1,1,0,1,0,1,0,0,male,UP,C,C,C,C,E,F,,,,,,,,,,,
2519512731,23.358816,90.800623,Dulatpur-2,yes ,4,2,1,0,0,0,0,0,0,0,male,NP,D,D,C,C,D,D,A,A,,B,yes,A,D,F,D,1411455439017.jpg,1411455546909.jpg
2519512712,23.358816,90.800623,Dulotpur-2,yes ,1,1,0,3,0,0,1,0,0,0,female,UP,C,C,B,A,B,A,A,B,,B,yes,A,C,F,D,1411456933236.jpg,1411456998373.jpg
2519512732,23.358816,90.800623,Dulotpur-2,yes ,4,2,0,0,1,0,0,0,0,0,female,NP,C,C,D,D,D,E,A,A,,B,yes,A,D,D,,1411457878644.jpg,1411457909707.jpg
1454818323,25.612723,88.915007,kalikabari Dagapara,yes ,2,2,0,0,0,0,0,0,0,0,female,PP,E,E,E,E,C,C,A,A,,A,yes,A,C,F,C,1411535750678.jpg,1411535770106.jpg
1454818324,25.613741,88.909516,kalikabari Dagapara,yes ,4,1,0,1,0,0,0,0,0,0,female,PP,E,E,E,E,C,C,A,A,,A,yes,B,C,C,,1411536892894.jpg,1411536924474.jpg
1454818333,25.612723,88.915007,tkalikabari Dangapara,yes ,1,1,0,0,0,0,0,0,0,0,female,NP,E,E,E,E,C,C,A,A,,A,yes,A,C,F,C,1411537815413.jpg,1411537832860.jpg
1454818332,25.618016,88.911847,kalikabari Dagapara,yes ,1,1,1,0,1,0,0,0,0,0,female,NP,E,E,E,E,E,D,A,A,,A,yes,A,C,F,D,1411539991234.jpg,1411540021460.jpg
1435505214,23.294504,89.153772,Sadikpur,"No,moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454818334,25.617436,88.923692,Dangapara,yes ,2,2,0,0,1,0,1,0,0,0,female,NP,D,D,D,D,D,D,A,A,,B,yes,A,D,C,,1411536930857.jpg,1411536959607.jpg
2501625525,24.926118,89.085519,Maligram,yes ,2,1,0,0,0,1,0,0,0,0,female,NP,D,D,D,D,B,B,A,A,,B,yes,B,E,F,D,1411533214950.jpg,1411533228970.jpg
2501625521,24.926118,89.085519,Maligram,yes ,2,3,1,0,0,0,0,0,0,0,female,NP,C,D,D,D,C,C,A,A,,B,yes,D,E,C,,1411534529326.jpg,1411534612094.jpg
2501625523,24.926118,89.085519,Maligram,yes ,1,1,0,0,0,0,0,0,0,0,female,PP,D,D,D,D,D,D,A,A,,B,yes,D,E,C,,1411534399359.jpg,1411534415055.jpg
2518474115,25.960595,89.459963,ltapota,yes ,1,2,0,1,1,0,1,0,0,0,female,UP,D,D,D,D,D,D,A,A,,A,yes,A,D,F,C,1411540110949.jpg,1411540144141.jpg
2518474116,25.957078,89.452001,ltapota,yes ,1,2,0,0,0,0,0,0,0,0,female,UP,D,D,D,D,E,F,,,,,,,,,,,
2509561912,23.140716,90.787565,Daysara,"No,nobody home ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509561923,23.140716,90.787565,Daysara,"No,nobody home ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457848634,23.433262,89.760657,Modandia,yes ,2,2,0,0,0,0,0,0,0,0,female,NP,A,A,A,A,C,C,A,A,,B,yes,B,E,F,C,1411449124079.jpg,1411449160783.jpg
2518474114,25.96028,89.461286,ltapota,yes ,1,1,0,0,0,0,0,0,0,0,female,UP,A,A,D,C,C,C,B,B,,B,yes,A,D,F,C,1411537330303.jpg,1411537305700.jpg
2501625513,24.926118,89.085519,Maligram,yes ,1,1,0,0,1,1,0,1,0,0,male,UP,C,D,D,D,C,C,C,B,,B,yes,C,E,F,C,1411535688210.jpg,1411535763763.jpg
2509559425,23.184998,90.761187,Upadik,yes ,2,1,1,0,2,0,0,0,0,0,female,PP,A,A,A,A,B,A,A,A,,B,yes,A,D,C,,1411455728265.jpg,1411455423546.jpg
2509559414,23.184998,90.761187,Upadik,yes ,2,1,1,0,0,1,0,0,0,0,male,UP,C,D,C,D,C,E,A,A,,B,yes,A,E,D,,1411456745970.jpg,1411456445895.jpg
2509559431,23.184998,90.761187,Upadik,yes ,1,1,0,0,1,0,1,1,0,0,female,NP,D,D,D,D,D,E,A,A,,B,No,A,D,D,,1411531168250.jpg,1411530941269.jpg
2509559415,23.184998,90.761187,Upadik,yes ,1,1,1,0,1,1,0,0,0,0,female,UP,A,A,A,A,E,E,A,D,Hang Latrine,D,No,B,E,D,,1411532515358.jpg,1411532455090.jpg
2509559423,23.184998,90.761187,Upadik,"No,nobody home ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509559424,23.184998,90.761187,Upadik,"No,nobody home ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509559434,23.184998,90.761187,Upadik,yes ,1,2,1,0,1,0,0,0,0,0,female,NP,E,E,E,E,C,C,B,A,,B,yes,A,C,F,C,1411535991830.jpg,1411536013098.jpg
1454818315,25.617436,88.923692,Dangapara,"No,moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454818316,25.615312,88.909925,Dangapara,yes ,1,2,1,0,0,1,0,1,0,0,female,UP,D,D,D,D,E,F,,,,,,,,,,,
