Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Name of the village,HH00:Interview the HH (presence of HH members) ,HHma:Number of adult male ,HHfa:Number of adult  female ,HHmado:Number of Adloscent male ,HHfado:Number of Adloscent female ,HHmh5:Number of male children(>5yrs),HHfH5:Number of female children (>5yrs),HHml5:Number of male children(<=5yrs),HHfl5:Number of female children(<=5yrs),HHmsp:Number of male member who need assistance to access the latrine or defecate in the open ,HHfsp:Number of female member who need assistance to access the latrine or defecate in the open   ,HHsx:Sex of the interviewee,Economic status during data collection,HH01(old): Safe & Protected Main Drinking Water Source(old),HH01(new): Safe & Protected Main Drinking Water Source(new),HH02old: Drinking Water Management from Source to Cup(old),HH02new: Drinking Water Management from Source to Cup(new),HH03old: Quality of Latrine(old),HH03new: Quality of Latrine(new),HH03A:Shared latrine ,HH03B:Type of latrine ,HH3B:Type of Latrine(pls specify),HH04: Latrine use by whom,HH04A:Latrine use_All members,HH05:Latrine use when ,HH06:Hand washing provisions after defaecation ,HH07(dne):Sludge management(done),HH07(ftr):Sludge management(future),Image_water point ,Image (Latrine)
1424333633,24.567484,89.885995,Nabogram-1,yes ,2,3,0,0,0,0,1,0,0,0,male,NP,C,D,D,D,B,A,A,A,,A,yes,B,D,C,,1409609190527.jpg,1409609229352.jpg
1416222231,21.474055,91.981948,Hatkhola para,yes ,1,1,0,1,2,1,0,0,0,0,female,PP,E,E,E,E,B,A,A,A,,B,yes,A,C,C,,1409636732085.jpg,1409636358436.jpg
1416222221,21.442624,91.974319,Hatkhola para,yes ,2,2,1,2,1,0,1,0,0,0,female,PP,B,B,A,A,B,A,A,A,,A,yes,A,C,C,,1409640156954.jpg,1409639689939.jpg
2523778134,22.771534,89.253096,Shapur,yes ,1,1,1,0,1,0,0,0,0,0,female,NP,B,B,A,A,B,A,A,A,,B,yes,B,B,F,B,1409640918194.jpg,1409640417907.jpg
1413151511,24.849967,89.393022,akash tara mondol,yes ,0,1,2,0,0,0,1,0,0,0,female,UP,E,E,E,E,A,A,A,B,,A,yes,A,D,F,C,1409635368980.jpg,1409635400570.jpg
2509261221,23.161422,90.712976,Chandpur north,yes ,4,3,0,0,1,0,0,0,0,0,male,PP,A,A,A,A,B,A,B,A,,A,yes,A,C,F,C,1409639266647.jpg,1409639522679.jpg
1413151512,24.856648,89.396988,akash tara mondol,yes ,1,1,1,0,1,1,0,0,0,0,female,UP,E,E,E,E,A,A,A,B,,B,yes,A,D,F,C,1409636609264.jpg,1409636636821.jpg
1413151514,24.855065,89.393681,akash tara mondol,yes ,1,3,0,0,0,3,0,1,0,0,female,UP,E,E,E,E,B,B,A,A,,A,yes,A,D,C,,1409638981934.jpg,1409639011948.jpg
1413151521,24.853308,89.395005,Akash tara mondol,yes ,1,1,0,0,1,0,1,0,0,0,male,PP,E,E,E,E,A,E,A,B,,B,No,A,D,F,C,1409636815564.jpg,1409636862017.jpg
1413151522,24.847963,89.391328,Akash tara mondol,yes ,1,1,1,0,0,0,0,0,0,0,female,PP,B,B,D,C,A,A,A,B,,B,yes,A,D,F,C,1409647818129.jpg,1409647756407.jpg
1413151524,24.856648,89.396988,Akash tara mondol,yes ,2,2,0,0,0,0,1,0,0,0,female,PP,E,E,E,E,C,C,A,A,,A,yes,A,C,F,C,1409639377601.jpg,1409639441873.jpg
1413151523,24.856648,89.396988,Akash tara mondol,yes ,4,2,0,0,0,0,1,0,0,0,male,PP,E,E,E,E,C,C,A,B,,B,No,A,C,F,C,1409641620940.jpg,1409641664685.jpg
1413151525,24.849967,89.393022,Akash tara mondol,"No,moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413151526,24.847963,89.391328,Akash tara mondol,yes ,3,2,0,0,0,0,0,0,0,0,male,PP,E,E,E,E,A,E,A,B,,A,yes,A,C,F,C,1409645490426.jpg,1409645535201.jpg
1413151513,24.849967,89.393022,akash tara mondol,yes ,1,2,1,0,0,0,0,0,0,0,female,UP,B,B,D,C,B,A,B,A,,B,yes,A,C,C,,1409640488432.jpg,1409640517454.jpg
1413151516,24.849967,89.393022,akash tara mondol,yes ,1,1,0,0,0,1,1,0,0,0,female,UP,E,E,E,E,D,D,B,A,,A,yes,A,D,D,,1409643063483.jpg,1409642502946.jpg
2509261216,23.161214,90.713458,Chandpur north,yes ,2,1,1,0,0,0,1,1,0,0,female,UP,A,A,D,C,D,D,A,A,,B,yes,A,C,F,C,1409641442148.jpg,1409641590930.jpg
1413151515,24.847963,89.391328,akash tara mondol,yes ,2,2,0,0,0,0,0,1,0,0,female,UP,E,E,E,E,A,A,B,B,,A,yes,A,D,D,,1409643777923.jpg,1409643809259.jpg
1422313211,24.331122,90.490308,paithol-4,yes ,1,2,0,1,1,0,1,0,0,0,female,UP,C,D,D,D,C,C,A,A,,B,No,B,D,F,C,1409641931647.jpg,1409641990536.jpg
1422313212,24.340419,90.524669,paithol-4,yes ,1,1,0,0,1,2,0,0,0,0,female,UP,A,C,D,C,C,C,A,A,,C,No,B,D,F,C,1409644180939.jpg,1409644223564.jpg
1422313216,24.340419,90.524669,paithol-4,yes ,2,2,0,1,0,1,0,0,0,0,female,PP,D,D,D,D,C,C,B,A,,C,No,B,D,F,C,1409646365839.jpg,1409646467880.jpg
1422313231,24.340419,90.524669,paithol-4,yes ,3,1,1,0,0,0,0,0,0,0,male,NP,D,C,D,C,D,E,A,A,,B,yes,B,D,,,1409648458659.jpg,1409648481814.jpg
1427373916,22.397916,91.864006,South burishchor,yes ,1,1,0,2,1,1,0,0,0,0,female,UP,B,B,D,C,D,D,A,B,,B,yes,A,E,C,,1409658420567.jpg,1409658371275.jpg
1427373912,22.400656,91.86492,South burishchor,yes ,3,1,2,1,0,0,0,0,0,0,female,PP,B,B,B,B,D,D,A,B,,B,yes,A,D,F,C,1409659019727.jpg,1409659038100.jpg
1427384025,22.427487,91.82172,Rajkhanpara,yes ,5,3,2,1,1,0,0,0,0,0,female,PP,B,B,A,A,C,C,A,C,,B,yes,A,A,F,C,1409638179084.jpg,1409638076778.jpg
2505435912,24.893135,91.710179,Mirpur,yes ,2,2,0,1,0,0,0,0,0,0,male,UP,B,B,A,A,A,A,A,B,,B,yes,B,C,F,C,1409640666426.jpg,1409640536343.jpg
2505435936,24.903703,91.712591,Mirpur,yes ,1,5,0,0,2,1,0,0,0,0,female,NP,B,B,A,A,B,A,A,C,,B,yes,B,B,F,C,1409643181841.jpg,1409642360972.jpg
2505435915,24.914856,91.709485,Mirpur,yes ,1,1,1,0,0,1,0,0,0,0,female,UP,D,C,A,A,A,A,A,B,,B,yes,B,B,F,C,1409643770716.jpg,1409643707269.jpg
2505435914,24.914856,91.709485,Mirpur,yes ,3,1,0,2,0,2,0,0,0,0,male,UP,D,C,A,A,D,E,A,A,,B,yes,B,E,D,,1409645501877.jpg,1409645623218.jpg
2511592031,25.160589,91.966589,Dhakin panthomai,yes ,2,3,0,0,0,1,1,1,0,0,female,NP,D,D,C,D,D,D,A,A,,A,yes,A,D,D,,1409642312995.jpg,1409642366638.jpg
2511592012,25.161768,91.967558,Dhakin panthomai,yes ,3,2,1,0,0,0,1,1,0,0,female,UP,A,A,B,B,D,D,B,A,,B,No,A,B,F,C,1409643836714.jpg,1409643866240.jpg
2511592014,25.161768,91.967558,Dhakin panthomai,yes ,1,2,2,1,0,1,0,0,0,1,female,UP,C,D,C,D,D,D,A,B,,A,yes,A,E,F,C,1409645629734.jpg,1409645354859.jpg
2511592026,25.160589,91.966589,Dhakin panthomai,yes ,2,2,1,0,2,0,2,0,0,0,male,PP,C,D,D,D,D,D,A,A,,A,yes,A,E,F,C,1409647034815.jpg,1409647082316.jpg
2511592025,25.161768,91.967558,Dhakin panthomai,yes ,1,1,0,2,1,1,0,0,0,0,female,PP,B,B,D,C,D,D,A,A,,A,yes,B,E,F,C,1409649103248.jpg,1409649188931.jpg
2511592032,25.161768,91.967558,Dhakin panthomai,yes ,1,1,2,0,0,1,0,0,0,0,female,NP,C,D,D,D,D,D,A,A,,A,yes,B,E,F,C,1409650248248.jpg,1409650188604.jpg
1434474931,23.927347,90.549573,Boali,yes ,3,3,0,0,0,0,0,1,0,0,female,NP,A,A,A,A,B,A,A,C,,A,yes,A,A,F,C,1409663683101.jpg,1409663724730.jpg
1413151531,24.847963,89.391328,Akashtara Mondol,yes ,2,2,1,0,0,1,0,0,0,0,female,NP,E,E,E,E,B,A,A,C,,A,yes,A,A,F,C,1409637189754.jpg,1409637221538.jpg
1413151533,24.856648,89.396988,Akashtara Mondol,yes ,1,2,0,0,0,0,0,0,0,0,female,NP,E,E,E,E,A,A,A,B,,B,yes,A,C,F,C,1409640429127.jpg,1409640484695.jpg
1413151532,24.856648,89.396988,Akashtara Mondol,yes ,3,3,0,0,0,3,0,2,0,0,female,NP,E,E,E,E,C,C,A,A,,A,yes,A,D,F,C,1409642888036.jpg,1409642914052.jpg
1413151535,24.856648,89.396988,Akashtara Mondol,yes ,3,2,0,0,1,0,0,0,0,0,female,PP,E,E,E,E,D,D,A,A,,A,yes,A,D,C,,1409644236208.jpg,1409644295528.jpg
1413151536,24.856648,89.396988, Akashtara Mondol,yes ,2,2,0,0,0,0,0,2,0,0,male,NP,E,E,E,E,B,A,A,C,,A,yes,A,A,F,C,1409646052081.jpg,1409646114131.jpg
2523778114,22.7611,89.253668,Shapur,yes ,1,1,0,0,0,0,1,0,0,0,female,UP,A,A,D,C,C,C,C,A,,B,No,B,D,C,,1409652371272.jpg,1409652414055.jpg
1413151534,24.856648,89.396988,Akashtara Mondol,yes ,1,2,0,0,0,0,0,0,0,0,male,NP,E,E,E,E,A,A,A,A,,B,yes,A,A,F,C,1409648367322.jpg,1409648405517.jpg
2523778131,22.771534,89.253096,Shapur,yes ,1,1,0,1,0,1,0,0,0,0,female,NP,A,A,A,A,B,A,A,A,,B,yes,A,B,F,B,1409654693728.jpg,1409654729457.jpg
1434474911,23.927347,90.549573,Boali,yes ,1,1,0,0,1,0,1,1,0,0,female,UP,C,D,C,D,C,C,A,B,,A,yes,B,C,C,,1409664641266.jpg,1409664650325.jpg
1464929431,25.013184,89.364692,Lokhipur,yes ,1,1,0,0,0,0,0,0,0,0,female,NP,B,B,D,C,C,C,A,A,,B,yes,B,C,F,C,1409638416338.jpg,1409638461574.jpg
1464929421,25.011928,89.364542,Lokhipur,yes ,1,1,1,0,0,0,0,1,0,0,female,PP,B,B,D,C,B,A,A,A,,A,yes,B,C,F,C,1409641529860.jpg,1409641556098.jpg
1464929432,25.011206,89.364964,Lokhipur,yes ,1,1,1,1,1,0,1,0,0,0,male,PP,B,C,D,C,B,A,A,A,,A,yes,B,C,F,C,1409643856762.jpg,1409643883011.jpg
1464929411,25.011374,89.351589,Lakhipur,yes ,3,3,0,1,1,1,0,0,0,0,female,PP,B,B,D,C,C,C,A,C,,A,yes,B,C,C,,1409641522899.jpg,1409641562949.jpg
1464929412,25.011374,89.351589,Lokhipur,yes ,1,1,2,0,0,0,0,0,0,0,female,UP,B,B,D,C,B,A,A,A,,A,yes,A,C,F,C,1409643021963.jpg,1409643056918.jpg
1424333634,24.575938,89.890553,Nabogram-1,yes ,2,1,0,0,0,0,0,0,0,0,female,PP,C,D,D,D,C,C,B,A,,B,yes,B,B,C,,1409670931723.jpg,1409670970219.jpg
1424333621,24.571697,89.886644,Nabogram -1,yes ,1,1,2,0,0,1,0,0,0,0,female,PP,B,B,A,A,D,D,A,A,,B,yes,B,B,C,,1409670496102.jpg,1409670560689.jpg
1461899134,23.387126,89.293391,Singra,yes ,1,1,0,0,0,0,0,0,0,0,female,NP,A,A,A,A,C,C,A,A,,B,yes,A,B,F,C,1409715331043.jpg,1409715365471.jpg
1405060621,24.930497,90.862765,Soygau,yes ,3,2,1,0,0,0,0,0,0,0,female,NP,A,A,A,A,C,C,A,A,,B,yes,B,B,A,,1409716609603.jpg,1409716702977.jpg
1448727413,23.33263,89.890377,kamalapur,yes ,1,1,0,1,2,0,0,0,0,0,female,PP,E,E,E,E,B,B,A,A,,B,yes,B,C,C,,1409716473749.jpg,1409716510164.jpg
2509261213,23.161203,90.712954,Chandpur north,yes ,1,1,0,1,0,0,3,0,0,0,female,UP,A,A,A,A,C,C,A,B,,B,yes,A,E,F,C,1409715350241.jpg,1409715315333.jpg
1448727414,23.340717,89.885056,kamalapur-1,yes ,1,2,0,0,0,0,1,0,0,0,female,UP,A,A,A,A,B,B,A,A,,B,yes,B,B,C,,1409717905344.jpg,1409717960531.jpg
1425353736,24.271135,91.462667,purba lanjapara,yes ,2,2,0,0,0,0,0,0,0,0,female,NP,B,B,A,A,A,A,A,A,,B,No,A,B,F,C,1409716737026.jpg,1409716813768.jpg
1424333635,24.570382,89.887089,Nabogram-1,yes ,2,2,0,0,0,0,0,0,0,0,female,NP,C,D,D,D,C,C,A,A,,B,yes,B,B,F,C,1409675484006.jpg,1409675528977.jpg
1405060632,24.930497,90.862765,Soygau,yes ,3,4,1,0,1,0,1,1,0,0,female,NP,A,A,A,A,A,C,A,D,Twopituseatthesametime,A,yes,B,B,F,B,1409719854378.jpg,1409719944949.jpg
1448727415,23.331574,89.895967,kamalapur-1,yes ,1,1,1,1,0,0,0,0,0,0,female,PP,E,E,E,E,B,A,A,A,,B,yes,B,C,F,C,1409719843673.jpg,1409719876238.jpg
1461899115,23.361546,89.284995,Singra,yes ,1,1,0,0,0,0,0,0,0,0,female,UP,A,A,B,B,B,A,A,A,,B,yes,A,B,C,,1409719659747.jpg,1409719573833.jpg
1442606234,24.224678,89.078397,Vobanipur-2,yes ,1,1,0,0,0,0,0,0,0,0,female,NP,D,D,D,D,D,D,A,A,,B,yes,C,E,F,C,1409720581040.jpg,1409720614852.jpg
1405060633,24.930497,90.862765,Soygau,yes ,1,1,1,0,0,0,0,0,0,0,male,NP,A,A,A,A,B,A,A,A,,B,yes,B,B,F,A,1409721187981.jpg,1409721219891.jpg
1425353723,24.270809,91.462316,purba lanjapara,yes ,1,2,0,0,0,0,0,0,0,0,female,PP,B,C,A,A,B,E,B,A,,B,No,A,B,D,,1409714770411.jpg,1409714789187.jpg
1461899124,23.36077,89.328939,Singra,yes ,1,1,0,1,0,1,0,0,0,0,male,PP,A,A,B,B,B,A,A,A,,B,yes,A,B,F,C,1409721185188.jpg,1409721218140.jpg
1424333622,24.567871,89.887083,Nabogram -1,yes ,3,2,0,0,0,0,0,1,0,0,male,PP,C,D,C,D,C,C,A,A,,A,yes,B,D,F,A,1409675044078.jpg,1409675079908.jpg
1424333623,24.564162,89.911826,Nabogram-1,yes ,1,2,0,1,0,0,0,0,0,0,female,NP,C,D,D,D,B,A,C,A,,B,yes,B,B,F,C,1409678389319.jpg,1409678477436.jpg
1442606223,24.229985,89.081054,Vabanipur-2,yes ,1,1,0,0,0,0,1,0,0,0,female,UP,D,D,D,D,D,D,A,A,,D,yes,C,E,F,C,1409722044084.jpg,1409721950390.jpg
1414171721,23.688815,91.075731,kandughor,yes ,3,3,0,0,2,0,1,0,0,0,female,PP,A,A,A,A,B,A,C,A,,A,yes,B,D,C,,1409722020273.jpg,1409722075059.jpg
