Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Year of VWC establishment ,Year village social map was made,Total number of male members at start ,Total number of female members at start ,Total number of male members now ,Total number of female members now ,Is the area arsenic prone ,Total number of Ultra Poor HH ,Total number of poor HH,Total number of non poor HH ,Number of TW platform loan received from BRAC ,Number of DTW received from BRAC ,Number of PSF received from BRAC ,Number of other source  received from BRAC ,Please specify the other source,Number of TW platform loan received from other organisation ,Number of DTW received from other organisation ,Number of PSF received from other organisation ,Number of other source received from other organisation ,Text,VWC01sa: Drinking water source received from BRAC(source A),VWC01sb:Drinking water source received from BRAC(source B),VWC01sc:Drinking water source received from BRAC(source C),VWC02: Performance of VWC ,VWC03_men:Women's participation(men),VWC03_women:Women's participation(women),VWC03_agreed:Women's participation(agreed) 
25063561,25.010928,91.66175,2012,2012,5,6,5,6,no,11,43,197,0,0,0,0,na,0,0,0,0,na,F,F,F,C,C,C,C
14060707,24.230399,89.991757,2007,2007,5,6,5,6,no,71,90,59,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,B,B,C,C
14202929,23.575576,89.850808,2007,2007,5,6,5,6,yes,10,193,67,1,0,0,0,NA,0,0,0,0,NA,E,F,F,C,C,C,C
14334547,24.759249,89.240797,2006,2006,5,6,5,6,no,92,122,76,1,0,0,0,No,0,0,0,0,No,B,F,F,A,A,A,A
14192727,22.811658,89.406169,2007,2007,5,6,5,6,no,43,200,32,0,0,0,0,Na,0,31,0,0,Na,F,F,F,C,C,C,C
14679799,23.648161,90.596591,2007,2007,5,6,5,6,no,8,31,56,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,C,C
14456769,24.564692,90.138075,2008,2008,5,6,5,6,no,26,60,39,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,C,C
25097593,23.217066,90.797151,2012,2012,5,6,5,6,no,34,28,124,0,0,0,0,0,0,0,0,0,O,F,F,F,C,C,C,C
14598688,24.728732,89.407896,2007,2007,5,6,5,6,no,15,95,177,2,0,0,0,NA,0,0,0,0,NA,A,C,F,B,A,A,A
25231887,22.771232,89.253101,2012,2012,5,6,5,6,yes,184,35,29,0,0,0,0,O,0,1,0,0,O,F,F,F,B,A,A,A
25084121,22.512577,89.514957,2012,2012,5,6,5,6,no,37,33,13,0,0,0,0,na,0,0,0,0,na,F,F,F,B,B,B,B
14121414,23.442524,89.588734,2007,2007,5,6,5,6,no,34,107,115,0,0,0,0,NA,0,0,0,0,NA,F,F,F,B,A,A,A
14080909,23.176214,90.466282,2007,2007,5,6,5,6,no,59,59,97,0,1,0,0,no,0,0,0,0,no,A,F,F,B,A,A,A
