Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Furthest distance from RSC to households of the union,"Travel time (to and from) from RSC to ultra poor households of the union ","Support received from the BRAC WASH Programme ","RSC01:Performance of RSC ","Comment (if any) "
105378291,25.174365,89.020395,7,2,C,D,o
104058234,24.590858,91.983983,7,2,C,E,ownership chang(same name)
104058235,24.59165,91.983235,7,2,C,B,na
200809096,22.474332,89.55672,10,2.5,C,D,na
100910051,25.372913,88.99557,8,2,C,E,Day labour
100910052,25.372913,88.99557,10,2,C,E,Day labour
202129297,24.980879,90.536636,4,3,C,C,N/a
202102294,24.950727,90.560707,8,3,C,C,N/a
200428046,24.091858,90.943883,6,3,C,C,Information collect from ownership
106695324,22.976966,91.130371,12,3,B,D,NA
200731089,25.085103,91.761428,5,4,C,C,NA
200731090,25.085103,91.761428,0,0,B,E,Information received from BRAC WASH office
200731091,25.084731,91.756293,9,5,C,C,Na
200511055,24.817777,91.753107,8,3,B,B,NA
200511056,24.817777,91.753107,0,0,B,E,NA
200543057,24.817777,91.753107,10,4,B,D,NA
200511054,24.814884,91.751072,0,0,B,E,Information received from Brac WASH office
106696318,23.036196,91.109385,0,0,A,E,No activity now
202576349,24.956055,92.419013,4,2,C,B,Na
202546347,24.956055,92.419013,14,4,B,B,Na
200436047,24.102508,90.945673,10,3,C,C,Information collect for ownership
200436048,24.106288,90.925531,7,3,B,C,Information collect from ownership
105380290,25.174466,89.158704,0,0,D,E,No RSC
106594312,23.769786,90.129252,6,4,D,C,NA
106594313,23.769786,90.129252,3,3,C,C,NA
106594314,23.768826,90.126893,0,0,D,E,No Rsc
202140299,24.9534,90.616604,5,3,C,B,N/a
201438192,24.260677,90.789275,8,3,C,C,N/A
201438193,24.257686,90.833466,6,4,B,C,Running
103957221,24.468338,90.771873,22,2,C,D,No activity now
103955214,24.451655,90.777953,6,2,C,B,N/A
103955216,24.447509,90.779361,6,2,B,D,N/A
106593315,23.77506,90.167138,8,4,C,C,NA
106593317,23.767607,90.162711,11,5,D,E,No Rsc center
106593316,23.767655,90.162725,0,0,D,E,Unknown Rsc
202133298,24.942408,90.610878,0,0,C,E,change of business
103955215,24.490808,90.760278,7,3,C,B,N/A
200809097,22.503098,89.57562,10,2.5,B,D,na
200857101,22.611181,89.522277,6,2.5,C,D,na
103244176,23.298883,90.953355,4,2,C,C,N/A
104159243,23.930846,89.090249,6,2,C,C,No
104159242,23.90061,89.106964,6,2,D,D,Owner ship change
104159245,23.90061,89.106964,5,2,B,B,No
104159244,23.90061,89.106964,5,2,B,B,No
104159241,23.90061,89.106964,0,0,B,E,No RSC
200837098,22.539444,89.480011,5,1.5,C,D,na
