Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,"Type of school ","SStotMteacher:Number of male teachers at school ","SStotFteacher:Number of female teachers at school ","SStotboys:Number of total boys at school ","SStotgirls:Number of total girls at school ","SSwater:Main source of drinking water at school ","5specifySSwater:Main source of drinking water at school ","SSGlatBRAC:Number of separate latrine for girls from BRAC & school authority ",SSGlat: Number of separate  latrine for girls other than BRAC,"SSBlat:Number of latrine for boys  ","SSUG:Number of urinal for girls ","SSUB: Number of urinal for boys ","SS01aABRAC:Number of latrine for girls from BRAC & school ","SS01aBBRAC:Number of latrine for girls from BRAC & school  ","SS01aCBRAC:Number of latrine for girls from BRAC & school ","SS01aDBRAC:Number of latrine for girls from BRAC & school ","SS01aEBRAC: Number of latrine for girls from BRAC & school ","SS01cAoth:Number of other latrine for girls ","SS01cBoth:Number of other latrine for girls ","SS01cCoth: Number of other latrine for girls ","SS01cDoth:Number of other latrine for girls ","SS01cEoth:Number of other latrine for girls ",SS01bAboys: Number of latrine for boys,"SS01bBboys:Number of latrine for boys ","SS01bCboys:Number of latrine for boys ","SS01bDboys: Number of latrine for boys ","SS01bEboys: Number of latrine for boys ","SS02: Student Brigade ","SS03: Menstrual hygiene management ","SS04:Performance of School WASH Committee "
411316065,24.859136,89.373927,girls only,6,4,0,172,3,,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,C,A,C
411316043,24.865232,89.378283,"Co-education ",5,7,197,108,3,,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,B,E,A
410203238,26.22774,88.462288,girls only,10,3,0,227,3,,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,C,C,B
412535049,24.340781,91.432887,"Co-education ",14,8,675,372,4,,2,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,C,A,B
413447042,23.927341,90.549592,girls only,5,5,0,281,3,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,A,A
413448039,24.011144,90.538723,"Co-education ",10,4,192,255,1,,2,2,1,2,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,D,A,A
413448040,24.035123,90.503203,"Co-education ",9,2,256,265,1,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,D,A,A
516898196,24.635175,90.46223,"Co-education ",25,9,750,650,3,,2,0,2,0,7,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,B,E,B
414260211,24.200315,88.994987,"Co-education ",12,1,195,120,3,,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,D,C,E
414260212,24.200315,88.994987,girls only,8,4,0,170,3,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,D,C,E
412535050,24.269222,91.47178,"Co-education ",16,5,416,272,2,,2,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,C,A,B
412433306,24.53998,89.901311,"Co-education ",5,5,74,120,4,,2,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,D,A,B
412433305,24.540099,89.901394,"Co-education ",11,1,179,182,3,,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,C,A,B
410203241,26.231561,88.460286,"Co-education ",12,3,152,153,3,,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,B
410203240,26.23519,88.422538,"Co-education ",12,1,120,146,3,,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,C,B,A
411622012,21.444759,91.995697,"Co-education ",12,2,220,331,3,,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,B,A,B
411622011,21.499082,91.984878,"Co-education ",16,2,400,490,3,,2,0,3,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,B,A,B
414262206,24.203162,88.999346,girls only,9,9,0,352,3,,2,3,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,C,D,C
414262207,24.21223,89.002728,"Co-education ",13,3,424,397,3,,2,1,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,D,B,C
411521351,23.247635,91.291289,"Co-education ",12,3,477,385,3,,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,B,C,B
410304247,23.756222,89.540864,"Co-education ",6,1,128,183,1,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,B,A,A
414873048,23.262259,89.884159,"Co-education ",19,5,429,278,4,,2,2,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,B,A,A
411623364,21.551729,92.066552,girls only,12,8,0,487,3,,2,4,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,B,A,B
411623365,21.551729,92.066552,girls only,9,5,0,403,4,,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,B,A,B
410203242,26.21117,88.414595,"Co-education ",10,0,92,103,3,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,A
412434310,24.582966,89.926519,"Co-education ",6,2,105,70,3,,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B,B,A
410203239,26.233271,88.417893,girls only,11,5,0,758,3,,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,B,A,A
414262210,24.243013,89.01568,"Co-education ",7,1,121,161,3,,2,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,C,D,B
411519357,23.28194,91.291812,"Co-education ",8,3,156,209,3,,2,0.01,3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,C,D,D
411519356,23.254296,91.234737,"Co-education ",12,0,256,345,3,,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,D,E,E
411519355,23.247635,91.291289,"Co-education ",10,2,400,520,3,,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,D,E,C
414262208,24.21223,89.002728,"Co-education ",13,3,176,156,3,,2,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,C,A,C
410405199,23.632162,90.568934,"Co-education ",14,4,420,490,3,,2,2,2,1,3,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,C,A,D
414262209,24.200315,88.994985,"Co-education ",8,3,110,142,3,,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,C,C,C
415075202,24.64687,89.256918,"Co-education ",8,2,112,145,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,C,A,A
411521352,23.247637,91.291232,girls only,7,3,0,202,3,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,D,E,D
415075191,24.64687,89.256918,"Co-education ",9,2,137,124,3,,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,C,A,B
415075213,24.72812,89.15153,"Co-education ",11,1,138,65,3,,2,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,C,D,A
411521354,23.247637,91.291232,"Co-education ",9,2,178,242,5,Submarsebal DWT,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,D,E,D
410607290,24.229564,90.040836,"Co-education ",11,4,81,48,3,,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B,C,B
410607285,24.229564,90.040836,"Co-education ",10,3,718,310,3,,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,B,C,C
413041051,23.100025,89.096888,"Co-education ",11,7,281,302,4,,2,1,3,2,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,A,A,A
413041052,23.102932,89.103832,girls only,20,7,0,775,3,,2,2,0,4,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,B,A,A
414770064,23.050254,89.221349,"Co-education ",10,2,155,119,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A,A,A
414770063,23.066798,89.168321,"Co-education ",13,2,165,150,0,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A,A,A
414770062,23.00817,89.234564,"Co-education ",10,4,188,187,3,,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A,A,A
410304245,23.540648,89.633592,"Co-education ",17,6,372,319,3,,2,2,2,1,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,B,A,A
516898198,24.614871,90.396685,"Co-education ",7,3,220,260,1,,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,B,E,C
410304248,23.691852,89.52196,"Co-education ",13,3,434,497,3,,2,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,B,A,A
516898197,24.633092,90.461308,"Co-education ",7,5,140,156,3,,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,B,E,C
516898195,24.614871,90.396685,"Co-education ",7,4,336,450,3,,2,1,2,1,4,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,B,E,C
410405200,23.643273,90.591162,"Co-education ",11,1,535,620,3,,2,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,C,B,D
410304249,23.702772,89.582256,girls only,9,2,0,271,3,,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,B,B,A
520927314,23.121597,90.698504,"Co-education ",14,1,264,462,4,,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,C,C,C
411622013,21.482986,92.021522,"Co-education ",8,3,120,150,3,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,B,B,B
