Sl..No,ID,code128,PSU,District,PSU_UP,Upazila,PSU_Union,Union,PSU_VWC,VWC,HH_PSU,wealth,Ultra.poor,Poor,Non.Poor,Total,Remarks,Print Sl .no
12745,1465949631,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,31,NP,16,140,151,307,,1
12745,1465949632,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,32,NP,16,140,151,307,,1
12745,1465949633,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,33,NP,16,140,151,307,,1
12745,1465949634,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,34,NP,16,140,151,307,,1
12745,1465949635,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,35,NP,16,140,151,307,,1
12745,1465949636,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,36,NP,16,140,151,307,,1
,,#NAME?,,,,,,,,,,,,,,,,1
,,#NAME?,,,,,,,,,,,,,,,,1
12244,1467979911,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,11,UP,7,220,10,237,,1
12244,1467979912,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,12,UP,7,220,10,237,,1
12244,1467979913,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,13,UP,7,220,10,237,,1
12244,1467979914,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,14,UP,7,220,10,237,,1
12244,1467979915,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,15,UP,7,220,10,237,,1
12244,1467979916,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,16,UP,7,220,10,237,,1
12244,1467979921,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,21,PP,7,220,10,237,,1
