"Sl..No","Barcode","code128","PSU","District","PSU_UP","Upazila","PSU_Union","Union","PSU_VWC","VWC","HH_PSU","wealth","Ultra.poor","Poor","Non.Poor","Total","Remarks","Print.Sl..no"
12745,1465949616,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",16,"UP",16,140,151,307,NA,1
12745,1465949621,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",21,"PP",16,140,151,307,NA,1
12745,1465949622,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",22,"PP",16,140,151,307,NA,1
12745,1465949623,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",23,"PP",16,140,151,307,NA,1
12745,1465949624,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",24,"PP",16,140,151,307,NA,1
12745,1465949625,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",25,"PP",16,140,151,307,NA,1
12745,1465949626,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",26,"PP",16,140,151,307,NA,1
12745,1465949631,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",31,"NP",16,140,151,307,NA,1
12745,1465949632,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",32,"NP",16,140,151,307,NA,1
12745,1465949633,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",33,"NP",16,140,151,307,NA,1
12745,1465949634,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",34,"NP",16,140,151,307,NA,1
12745,1465949635,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",35,"NP",16,140,151,307,NA,1
12745,1465949636,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",36,"NP",16,140,151,307,NA,1
12244,1467979911,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",11,"UP",7,220,10,237,NA,1
12244,1467979912,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",12,"UP",7,220,10,237,NA,1
12244,1467979913,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",13,"UP",7,220,10,237,NA,1
12244,1467979914,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",14,"UP",7,220,10,237,NA,1
12244,1467979915,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",15,"UP",7,220,10,237,NA,1
12244,1467979916,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",16,"UP",7,220,10,237,NA,1
12244,1467979921,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",21,"PP",7,220,10,237,NA,1
12244,1467979922,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",22,"PP",7,220,10,237,NA,1
12244,1467979923,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",23,"PP",7,220,10,237,NA,1
12244,1467979924,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",24,"PP",7,220,10,237,NA,1
12244,1467979925,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",25,"PP",7,220,10,237,NA,1
12244,1467979926,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",26,"PP",7,220,10,237,NA,1
12244,1467979931,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",31,"NP",7,220,10,237,NA,1
12244,1467979932,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",32,"NP",7,220,10,237,NA,1
12244,1467979933,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",33,"NP",7,220,10,237,NA,1
12244,1467979934,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",34,"NP",7,220,10,237,NA,1
12244,1467979935,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",35,"NP",7,220,10,237,NA,1
12244,1467979936,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",36,"NP",7,220,10,237,NA,1
12394,1404050511,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",11,"UP",15,52,140,207,NA,1
12394,1404050512,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",12,"UP",15,52,140,207,NA,1
12394,1404050513,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",13,"UP",15,52,140,207,NA,1
12394,1404050514,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",14,"UP",15,52,140,207,NA,1
12394,1404050515,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",15,"UP",15,52,140,207,NA,1
12394,1404050516,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",16,"UP",15,52,140,207,NA,1
12394,1404050521,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",21,"PP",15,52,140,207,NA,1
12394,1404050522,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",22,"PP",15,52,140,207,NA,1
12394,1404050523,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",23,"PP",15,52,140,207,NA,1
12394,1404050524,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",24,"PP",15,52,140,207,NA,1
12394,1404050525,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",25,"PP",15,52,140,207,NA,1
12394,1404050526,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",26,"PP",15,52,140,207,NA,1
12394,1404050531,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",31,"NP",15,52,140,207,NA,1
12394,1404050532,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",32,"NP",15,52,140,207,NA,1
12394,1404050533,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",33,"NP",15,52,140,207,NA,1
12394,1404050534,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",34,"NP",15,52,140,207,NA,1
12394,1404050535,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",35,"NP",15,52,140,207,NA,1
12394,1404050536,NA,14,"Narayangonj",4,"Bandar",5,"Musapur",5,"Dasargaon",36,"NP",15,52,140,207,NA,1
11303,1434474911,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",11,"UP",16,79,128,223,NA,2
11303,1434474912,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",12,"UP",16,79,128,223,NA,2
11303,1434474913,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",13,"UP",16,79,128,223,NA,2
11303,1434474914,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",14,"UP",16,79,128,223,NA,2
11303,1434474915,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",15,"UP",16,79,128,223,NA,2
11303,1434474916,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",16,"UP",16,79,128,223,NA,2
11303,1434474921,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",21,"PP",16,79,128,223,NA,2
11303,1434474922,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",22,"PP",16,79,128,223,NA,2
11303,1434474923,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",23,"PP",16,79,128,223,NA,2
11303,1434474924,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",24,"PP",16,79,128,223,NA,2
11303,1434474925,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",25,"PP",16,79,128,223,NA,2
11303,1434474926,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",26,"PP",16,79,128,223,NA,2
11303,1434474931,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",31,"NP",16,79,128,223,NA,2
11303,1434474932,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",32,"NP",16,79,128,223,NA,2
11303,1434474933,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",33,"NP",16,79,128,223,NA,2
